Jugador,¿Europa?,Posicion,Edad,Goles,Tiros Totales,xG,npxG,xAG,Acciones_que_crean_tiros,Pases_intentados,Pases_progresivos,Regates_exitosos,Pases_medios_completados,Pases_largos_completados,xA,Pases_en_ultimo_tercio,Pases_balon_vivo,Pases_balon_muerto,Pases_al_hueco,Pases_centros,Pases_completados,Pases_fuera_de_juego,Valla_no_vencida,Errores_defnsivos_ocasion_tiro,Toques_en_zona_ofensiva,Toques_en_area_rival,Veces_que_fue_barrido_regate,Acarreos_ultimo_tercio,Malos_controles,Perdida_balon,Pases_recibidos,Pases_progresivos_recibidos,Faltas_cometidas,Duelos_aereos_ganados,market_value
Bertug Yıldırım,1,Delantero,22.865753424657534,0.045454545454545456,0.6666666666666666,0.11818181818181818,0.11818181818181818,0.05454545454545454,0.9545454545454546,8.454545454545455,0.6363636363636364,0.3181818181818182,1.3636363636363635,0.18181818181818182,0.022727272727272728,0.4090909090909091,8.0,0.4090909090909091,0.0,0.3181818181818182,4.590909090909091,0.045454545454545456,0.7272727272727273,0.0,6.818181818181818,2.090909090909091,0.2727272727272727,0.18181818181818182,1.8181818181818181,0.6818181818181818,9.5,2.1818181818181817,0.9444444444444444,2.0,2000000.0
Beto,0,Delantero,27.312328767123287,0.26666666666666666,1.5172413793103448,0.22142857142857145,0.1846153846153846,0.04000000000000001,0.8666666666666667,8.933333333333334,0.5333333333333333,0.6333333333333333,1.4666666666666666,0.23333333333333334,0.006666666666666667,0.23333333333333334,8.8,0.13333333333333333,0.03333333333333333,0.13333333333333333,5.2,0.0,0.8,0.0,8.066666666666666,2.8666666666666667,0.5666666666666667,0.4,1.64,1.0,12.6,2.566666666666667,1.0,1.9090909090909092,22000000.0
Bilal Brahimi,0,Mediocampista,24.44931506849315,0.0,0.5,0.0,0.0,0.0,0.5,20.0,2.0,0.0,9.0,1.0,0.1,0.5,17.5,2.5,0.0,2.5,17.5,0.0,1.0,0.0,9.5,0.0,1.0,1.5,0.0,1.5,17.5,5.0,1.5,0.0,1800000.0
Bilal Nadir,0,Mediocampista,21.465753424657535,0.06666666666666667,0.5333333333333333,0.03333333333333333,0.03333333333333333,0.02666666666666667,1.1333333333333333,16.8,1.2,0.26666666666666666,5.533333333333333,0.4,0.02666666666666667,1.0,15.8,0.9333333333333333,0.06666666666666667,0.4,14.666666666666666,0.06666666666666667,0.4666666666666667,0.0,7.133333333333334,0.7333333333333333,0.13333333333333333,0.8,0.4666666666666667,0.2857142857142857,15.466666666666667,1.6666666666666667,0.26666666666666666,0.26666666666666666,5000000.0
Billy Gilmour,1,Mediocampista,23.947945205479453,0.0,0.37037037037037035,0.018518518518518517,0.018518518518518517,0.06666666666666667,1.3076923076923077,35.888888888888886,2.5,0.2222222222222222,13.538461538461538,2.7777777777777777,0.05384615384615385,2.5384615384615383,34.7037037037037,1.1851851851851851,0.14814814814814814,0.7037037037037037,31.74074074074074,0.0,0.8888888888888888,0.0,6.296296296296297,0.18518518518518517,0.18518518518518517,0.4444444444444444,0.4074074074074074,0.18518518518518517,31.0,0.7407407407407407,0.5925925925925926,0.3333333333333333,20000000.0
Bojan Miovski,1,Delantero,25.876712328767123,0.11764705882352941,0.8235294117647058,0.03125,0.03125,0.0058823529411764705,0.5882352941176471,6.647058823529412,0.23529411764705882,0.17647058823529413,1.9411764705882353,0.17647058823529413,0.0058823529411764705,0.11764705882352941,5.529411764705882,1.0588235294117647,0.0,0.17647058823529413,5.0588235294117645,0.058823529411764705,0.4117647058823529,0.0,5.235294117647059,1.7058823529411764,0.11764705882352941,0.058823529411764705,1.0,0.35294117647058826,7.117647058823529,1.9411764705882353,0.7647058823529411,0.7647058823529411,2500000.0
Borja Iglesias,1,Delantero,32.347945205479455,0.2972972972972973,1.1111111111111112,0.15151515151515152,0.134375,0.04857142857142857,0.972972972972973,13.216216216216216,0.7567567567567568,0.2972972972972973,2.810810810810811,0.5405405405405406,0.02972972972972973,0.5405405405405406,11.486486486486486,1.5135135135135136,0.21621621621621623,0.16216216216216217,9.35135135135135,0.16666666666666666,0.2702702702702703,0.0,7.675675675675675,2.0833333333333335,0.4864864864864865,0.35135135135135137,1.5833333333333333,0.8648648648648649,13.891891891891891,2.918918918918919,1.0810810810810811,0.3783783783783784,3000000.0
Borja Mayoral,1,Delantero,28.134246575342466,0.20833333333333334,0.7916666666666666,0.08181818181818182,0.0782608695652174,0.03333333333333333,0.7916666666666666,10.583333333333334,0.5416666666666666,0.25,2.375,0.5416666666666666,0.004166666666666667,0.4583333333333333,9.375,1.125,0.0,0.375,8.208333333333334,0.08333333333333333,0.25,0.0,7.125,1.6666666666666667,0.4166666666666667,0.375,0.9583333333333334,0.8333333333333334,10.458333333333334,1.7916666666666667,0.375,0.7083333333333334,7500000.0
Borna Sosa,0,Defensa,27.065753424657533,0.0,0.21052631578947367,0.01578947368421053,0.01578947368421053,0.031578947368421054,0.8888888888888888,36.10526315789474,2.6842105263157894,0.15789473684210525,12.473684210526315,2.6842105263157894,0.0368421052631579,2.263157894736842,29.736842105263158,5.5,0.0,2.3333333333333335,28.736842105263158,0.16666666666666666,1.736842105263158,0.0,10.157894736842104,0.7368421052631579,0.10526315789473684,0.7894736842105263,0.47368421052631576,0.05263157894736842,23.894736842105264,2.5789473684210527,0.631578947368421,0.8421052631578947,4500000.0
Botond Balogh,1,Defensa,22.96712328767123,0.0,0.10344827586206896,0.013793103448275864,0.013793103448275864,0.003448275862068966,0.27586206896551724,33.241379310344826,1.2758620689655173,0.0,18.035714285714285,2.6206896551724137,0.006896551724137932,0.8275862068965517,30.724137931034484,2.4827586206896552,0.0,0.034482758620689655,29.689655172413794,0.034482758620689655,3.5652173913043477,0.0,0.8620689655172413,0.27586206896551724,0.0,0.10344827586206896,0.3103448275862069,0.034482758620689655,25.0,0.034482758620689655,0.5862068965517241,1.1724137931034482,2400000.0
